Id,Label,modularity_class,eigencentrality,betweenesscentrality,Eccentricity,closnesscentrality,kasus,sumber_data
360,@bronzebois,51,0.003168,0,0,0,change,#balinotforsale
361,@Rinatriputriana,52,0.003168,0,0,0,change,#balinotforsale
362,@Harewardhana,53,0.003168,0,0,0,change,#balinotforsale
363,@dethuu_,54,0.003168,0,0,0,change,#balinotforsale
364,@SindeMtosca,15,0.005176,0,0,0,change,#balinotforsale
365,@Nymgedepujawan,55,0.003168,0,0,0,change,#balinotforsale
366,@mademetronome,56,0.003168,0,0,0,change,#balinotforsale
367,@balioutbound,57,0.003168,0,0,0,change,#balinotforsale
368,@putu_diva,58,0.003168,0,0,0,change,#balinotforsale
369,@HusainAnnuri,59,0.003168,0,0,0,change,#balinotforsale
370,@upheamii,3,0.004727,0,0,0,change,#balinotforsale
371,@artha_ngurah,60,0.003168,0,0,0,change,#balinotforsale
372,@AyuDewa81,61,0.003168,0,0,0,change,#balinotforsale
373,@kiforrr,62,0.003168,0,0,0,change,#balinotforsale
374,@Jon_Akram,63,0.003168,0,0,0,change,#balinotforsale
375,@kumanTeam,2,0.003168,0,0,0,change,#balinotforsale
376,@eveINTAN,64,0.003168,0,0,0,change,#balinotforsale
377,@wirya13_,65,0.003168,0,0,0,change,#balinotforsale
378,@SofieanaY,66,0.003168,0,0,0,change,#balinotforsale
379,@kadek_faster,0,0.003168,0,0,0,change,#balinotforsale
380,@Lightning_venus,2,0.076847,0,0,0,change,#balinotforsale
