topic,term,beta,sumber_data,kasus
5,gubernur bali,0.0031059556958390813,twitter,change
5,lawan tenggelam,0.002908916758432165,twitter,change
5,ayo bergerak,0.002734293396244174,twitter,change
5,ayo bantu,0.0026409902148883525,twitter,change
5,tanah kelahiran,0.002570877801347574,twitter,change
5,istana negara,0.002487889332757819,twitter,change
5,kawan ayo,0.0024496141123639273,twitter,change
5,hujani akun,0.002258238009835497,twitter,change
5,kawan kawan,0.0021965226128139474,twitter,change
5,akun hashtag,0.002181687568824124,twitter,change
5,bali rumah,0.002181687568824124,twitter,change
6,selamat pagi,0.013768498067182833,twitter,change
6,investor rakus,0.007165939754884061,twitter,change
6,turun jalan,0.006504256074142947,twitter,change
6,selamat raya,0.003602979860884274,twitter,change
6,hati nurani,0.003526320518744219,twitter,change
6,aksi damai,0.0035262232591520472,twitter,change
6,teman teman,0.003459362358623454,twitter,change
6,kantor gubernur,0.0033344806798755464,twitter,change
6,tanah anarki,0.0029897066930741852,twitter,change
6,lady rose,0.0026447405361810106,twitter,change
6,sunset tanah,0.0024530926712403563,twitter,change
6,gubernur bali,0.002445549913662465,twitter,change
6,bumi pertiwi,0.0023764335175624606,twitter,change
6,kawan bali,0.0023381039504252084,twitter,change
6,kawan kawan,0.001928567927924001,twitter,change
7,limasatu bjad,0.017494208584604223,twitter,change
7,perpres limasatu,0.015064457392298069,twitter,change
7,dprd bali,0.009756385523968177,twitter,change
7,batalkan perpres,0.009195673743189392,twitter,change
7,superman dead,0.008747104292290418,twitter,change
7,kantor dprd,0.00713973042662266,twitter,change
7,penguasa pengusaha,0.0066537801881614315,twitter,change
7,bali berperang,0.005756641286386859,twitter,change
7,anak cucu,0.004929050369505635,twitter,change
7,svara bumi,0.004560456084020758,twitter,change
7,konser svara,0.004523075296446817,twitter,change
7,revitalisasi teluk,0.003812840332541943,twitter,change
7,tolong bantu,0.003812840332541943,twitter,change
7,indonesia bali,0.003513794031950419,twitter,change
7,pengusaha komisi,0.003513794031950419,twitter,change
8,tolak reklamasi,0.05401660366056466,twitter,change
8,bali tolak,0.032299081738367263,twitter,change
8,sayang bali,0.012098022448093219,twitter,change
8,warga bali,0.010703546129215884,twitter,change
8,cinta bali,0.009196004602285262,twitter,change
8,bangun bali,0.007240759994492385,twitter,change
8,bali ayo,0.005163330452923934,twitter,change
8,tolak dibohongi,0.004786445018404482,twitter,change
8,anak negeri,0.004598002301144465,twitter,change
8,rusak bumi,0.00425880541007643,twitter,change
8,bumi anak,0.004108051236268413,twitter,change
8,selamat ulang,0.0038819199737458116,twitter,change
8,bali cinta,0.0035804116273821674,twitter,change
8,terima kasih,0.0031140197142865682,twitter,change
8,konser mini,0.003070198322963731,twitter,change
9,pulau bali,0.009070783916327107,twitter,change
9,terima kasih,0.008018131424226568,twitter,change
9,alam menang,0.005366436058080891,twitter,change
9,selamat berjuang,0.005274667656493449,twitter,change
9,bali sale,0.00402299425906879,twitter,change
9,berjuang kawan,0.003567605479969516,twitter,change
9,bali pulau,0.003318828498193882,twitter,change
9,ami award,0.0033019327351749795,twitter,change
9,selamat pagi,0.0032938314757539797,twitter,change
9,supir truk,0.0030440780964494344,twitter,change
9,selamat malam,0.002661982969198237,twitter,change
9,melawan penguasa,0.0026187742375870997,twitter,change
9,pro reklamasi,0.0025438815038938785,twitter,change
9,bali selatan,0.0024921825653848755,twitter,change
9,polda bali,0.0022771949889412277,twitter,change
10,alam bali,0.02118093722993727,twitter,change
10,metro tv,0.016693309989322818,twitter,change
10,publicity stunt,0.004994995289263169,twitter,change
10,rusak alam,0.004812148446596604,twitter,change
10,bali indonesia,0.00452101763407622,twitter,change
10,jam wib,0.004250902623540792,twitter,change
10,anak muda,0.003957064354379959,twitter,change
10,selamatkan alam,0.0038282804001625805,twitter,change
10,tv liputan,0.0037918212414844487,twitter,change
10,bali rusak,0.0034272230451878674,twitter,change
10,parade budaya,0.0031306599400403837,twitter,change
10,orang bali,0.0030630463089181504,twitter,change
10,main konser,0.0029532453900023123,twitter,change
10,konser dibayar,0.002625107013335388,twitter,change
10,malam jam,0.0026251070132863458,twitter,change
1,ojek online,0.015510570506485626,twitter,gojek
1,driver demo,0.005658772101906964,twitter,gojek
1,driver ojek,0.0029589383738373356,twitter,gojek
1,driver gojek,0.002884869279654132,twitter,gojek
1,gojek error,0.002503716920901647,twitter,gojek
1,transportasi online,0.0020484957972720036,twitter,gojek
1,error driver,0.0018208851531306693,twitter,gojek
1,tarif manusiawi,0.0018208851531306693,twitter,gojek
1,teman teman,0.0018208851531306693,twitter,gojek
1,online dilarang,0.0018208449577328063,twitter,gojek
1,driver ojol,0.0015932745089893355,twitter,gojek
1,tarif turun,0.0015932745089893355,twitter,gojek
1,system error,0.0015932740021711981,twitter,gojek
1,terima kasih,0.001365663864848001,twitter,gojek
1,tinggalkanlah kesenangan,0.001365663864848001,twitter,gojek
2,transportasi online,0.0103877223544729,twitter,gojek
2,ojek online,0.009234865349766313,twitter,gojek
2,tarif gojek,0.003962495149266316,twitter,gojek
2,orang orang,0.0033150560897532524,twitter,gojek
2,supir angkot,0.0030939722763925555,twitter,gojek
2,angkutan online,0.002873199800173413,twitter,gojek
